accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.6162974834442139,0.6707932949066162,0.6745651960372925,0.7798277735710144,0.8579490184783936,0.48719796538352966
0.765031635761261,0.8469784259796143,0.4843789041042328,0.7810578346252441,0.8840776681900024,0.4361717402935028
0.8457278609275818,0.9258499145507812,0.34738069772720337,0.876998782157898,0.9541575908660889,0.2760217785835266
0.9042721390724182,0.968619167804718,0.22895874083042145,0.9434194564819336,0.9866527318954468,0.15259122848510742
0.9483122229576111,0.987788200378418,0.14209729433059692,0.9630996584892273,0.9929041862487793,0.1102154552936554
0.9696729779243469,0.9954871535301208,0.08229582756757736,0.9766297936439514,0.996662437915802,0.06712348014116287
0.9818037748336792,0.9973392486572266,0.05431709438562393,0.9766297936439514,0.9967290759086609,0.07336094975471497
0.9865506291389465,0.9990445971488953,0.0401773639023304,0.9864698648452759,0.9938089847564697,0.05931390821933746
0.9854958057403564,0.9985048770904541,0.04083796963095665,0.9803197979927063,0.9952856302261353,0.0635010376572609
0.982594907283783,0.9986811876296997,0.04269660636782646,0.9753997325897217,0.9973251819610596,0.06723123043775558
