name,model_path,epochs_trained,base_filters,kernel_size,dense_units,dropout,learning_rate,accuracy,auc,loss,val_accuracy,val_auc,val_loss,test_accuracy,test_auc,test_loss
wider_k5_dropout,C:\Users\lore7\Documents\Playground\cnn_xai_gender_lab\outputs\experiments\wider_k5_dropout\model.keras,10,48.0,5.0,128.0,0.4,0.0005,0.982594907283783,0.9986811876296997,0.04269660636782646,0.9753997325897217,0.9973251819610596,0.06723123043775558,0.9741697311401367,0.9860203266143799,0.13371527194976807
compact_k5_dropout,C:\Users\lore7\Documents\Playground\cnn_xai_gender_lab\outputs\experiments\compact_k5_dropout\model.keras,10,32.0,5.0,96.0,0.5,0.0005000000237487257,0.7615384459495544,0.8276718258857727,0.5091881155967712,0.5298804640769958,0.6450725197792053,0.9169001579284668,0.6613546013832092,0.7664750218391418,0.6219871044158936
face_crop_k5,C:\Users\lore7\Documents\Playground\cnn_xai_gender_lab\outputs\experiments\face_crop_k5\model.keras,4,32.0,5.0,128.0,0.35,0.0005000000237487257,0.7434002161026001,0.8230761289596558,0.5218722224235535,0.6215139627456665,0.6708430647850037,0.6612594127655029,0.6175298690795898,0.6951479911804199,0.6492534279823303
baseline,C:\Users\lore7\Documents\Playground\cnn_xai_gender_lab\outputs\experiments\baseline\model.keras,5,24.0,3.0,96.0,0.45,0.0003499999875202775,0.6692307591438293,0.7313011884689331,0.6120758056640625,0.4462151527404785,0.6049274802207947,0.7412484288215637,0.43824702501296997,0.5329500436782837,0.7130844593048096
