accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.5649572610855103,0.5929151177406311,0.768912136554718,0.5697211027145386,0.5292993783950806,0.6857932806015015,0.0005000000237487257
0.6188034415245056,0.6640152335166931,0.6677917242050171,0.5697211027145386,0.4904169738292694,0.7099369764328003,0.0005000000237487257
0.6350427269935608,0.6839849352836609,0.648400068283081,0.5737051963806152,0.5525446534156799,0.6777370572090149,0.0005000000237487257
0.6623931527137756,0.7285197973251343,0.6139358878135681,0.48605579137802124,0.5373283624649048,0.7112833857536316,0.0005000000237487257
0.6931623816490173,0.7639485597610474,0.5814396142959595,0.5976095795631409,0.6086181998252869,0.6632061004638672,0.0005000000237487257
0.7094017267227173,0.788836658000946,0.5542138814926147,0.5976095795631409,0.5986143946647644,0.7328054904937744,0.0005000000237487257
0.7324786186218262,0.8025649785995483,0.5393503308296204,0.6613546013832092,0.6428062319755554,0.6542722582817078,0.0005000000237487257
0.7341880202293396,0.7988654375076294,0.5384644865989685,0.6215139627456665,0.7188228368759155,0.6351644396781921,0.0005000000237487257
0.7555555701255798,0.8305737972259521,0.5046625733375549,0.5179283022880554,0.7012755870819092,0.9298078417778015,0.0005000000237487257
0.7615384459495544,0.8276718258857727,0.5091881155967712,0.5298804640769958,0.6450725197792053,0.9169001579284668,0.0005000000237487257
